wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs
080011,0800110001,2007,2007/7/17,12.06379278,6.530769348,174508,8.963115985,1.397451087,0.302588024,0,17.80788167,0,7.034621896,0,0,0,0,0,0,15.90364355,1.510988004,0,0,0,0,0,0,0,6.005731518,0,0,0.308365957,4.848896484,53.20167508,108.3918673,0,14427000
080001,0800010001,2009,2009/10/9,28.28568061,4.544000149,374732,1.73593027,28.22293385,8.446712831,0,3.795854487,9.108167654,4.141715793,0,0,0,1.029572894,1.570661614,22.24388106,2.922866588,3.531372537,16.41146136,24.6287315,0.917206306,21.85724337,0.937571766,0,0,0,0,10.99714642,17.20390702,12.48297745,76.76951852,58.05434899,12.90756439,14299000
080006,0800060001,2011,2011/9/23,44.1469728,5.725532055,202207,12.09722216,11.21592437,23.16632929,0,5.736530273,0,6.686334763,9.72019744,0.896107592,62.28734925,0.336071555,7.275064636,109.1213327,1.295226994,0,5.136173462,3.14000788,1.042595268,0.294306382,0,0,0.770345577,39.44846485,31.03592998,79.37289063,61.64116989,66.62090299,23.25314345,0,0,16952000
080003,0800030002,2012,2012/5/5,39.30851614,8.217144012,41801,6.33124856,16.57354484,2.438715085,16.15688567,20.59999796,0,0,0,0,0,0,0,0,11.1062185,20.53551844,0,1.037555815,0.677603715,23.86494919,0,0.898841204,0.750079147,19.92885978,1.245994264,5.406423226,1.349720736,0,39.7909857,150.6694109,6.892215887,4841000
080003,0800030007,2012,2012/5/5,24.06619476,6.43599987,69500,0,9.500758077,36.25832717,0,0,1.305247967,1.485672866,0,0,5.865031223,73.81971846,0,3.292052361,0.808387726,0,0,0,0,0,0.332301125,16.81584369,0,78.78479301,0,15.07629482,0,0,0,16.70992522,122.2610046,5036000
080003,0800030008,2012,2012/6/28,4.297660927,6.5,41801,0,0,0,5.344223751,14.73784988,0,0.496401587,1.080192716,6.018447642,0,0,10.00242979,1.399370303,0,22.54155,0.723994644,18.81196016,0.452412747,0.058740774,0,0,0,3.990653075,46.84292715,0,1.034850402,26.32397017,195.5858006,0,1.603373263,488000
080001,0800010001,2019,2019/10/15,28.28568061,4.544000149,374732,0,6.680042419,24.09107902,0,0,0.925438259,0.266480574,0,0,4.664774519,57.31704085,0,2.581976948,0,0,0,0,0,0,0,14.1072836,0,66.34331465,0,13.48602674,0,0,0,12.11217778,91.22263669,14882000
080003,0800030002,2019,2019/10/15,39.30851614,8.217144012,41801,5.922058325,16.81190524,3.789720746,16.15963818,20.15606675,0,0,0,0,0,0,0,0,9.286315645,21.6849939,0,0.039905873,0,21.0347755,0,0,0.116328739,5.475199486,0.190839314,4.29051996,0.134472139,0,43.73809383,134.9996883,13.21135889,27427000
080003,0800030003,2019,2019/10/15,8.778929416,5.422221661,41801,15.46008764,9.076407176,24.14884484,0,0.460435647,0,7.031787919,14.81181196,1.024124202,67.96316626,0,6.580995781,123.4901046,0.223932449,0,4.960445085,0.112776889,1.051753406,0,0,0,0,39.83562501,30.06424167,54.25733068,69.35442138,34.58789768,17.67888826,0,0,7936000
080003,0800030007,2019,2019/10/15,24.06619476,6.43599987,69500,0,0.306675908,14.21584002,29.74571151,21.18958814,0,0,1.317816905,33.53666745,0,0,0,0,0,0,0,31.26361524,55.20343739,0,0,0,1.490302824,9.213584958,0,0.933056227,16.8874287,126.7487924,17.30069045,0,0,42346000
080004,0800040001,2019,2019/10/15,10.88077043,3.327272654,41801,0,0,0,2.437602908,16.26094877,0,1.213371488,1.065145076,0.355732045,0,0,7.779652179,0,0,23.13208914,0,18.14087172,0,0,0,0,0,4.402589466,55.45135649,0,1.921787626,29.66872312,183.7879857,0,2.167774529,7106000
080006,0800060001,2019,2019/10/15,44.1469728,5.725532055,202207,0,1.042639932,0.264707096,5.713671526,0,0,0,0,0,11.25284832,1.638090822,0,0,0,0,0,5.622178577,0,8.34496057,48.96179548,2.527349771,0,0,3.310286202,0,0,1.978304681,0,125.7641264,11.29756684,123237000
120003,1200030001,1993,1993/8/12,105.2719819,0.856862783,324556,0,0,0.245459473,0,0,0,0,0,0,6.26370361,0,0,0,0,0,0,1.07212603,5.686806928,49.35791,1.164137481,8.813628293,0,0,0,0,0,0,0,0,9.041817925,52413000
120003,1200030003,1993,1993/8/12,24.10925522,1.129166603,146641,0,0,2.233762,0,0.465597673,4.752693058,31.30827852,27.36628396,0,72.43114955,13.12572878,0.147773813,0,0,0,0,1.902087947,0,0,0,1.268902833,0,0,10.50392444,0,0,0.528150941,0,5.071641478,59.15574116,84074000
120009,1200090001,1993,1993/8/12,71.52534661,1.156337857,412990,0,0,0,6.050095355,0,0,0,0,0,0,0,0,0.540528993,0,0,0,0.523706057,0,0,0,0,0,0,0,0,0,0.525504243,11.16301154,86.22825377,160.4572999,22165000
120009,1200090005,1993,1993/8/12,7.706059763,2.974999905,22843,0,0,8.171078098,0.915529355,0,0,5.366000784,0,0,0,0,0,7.580671367,14.38247938,7.843287682,0,0,0,0,0,0,5.209619011,0,10.11769318,0.0747139,14.25425575,38.78414058,80.18937429,91.3944215,2.981266797,22775000
120009,1200090009,1993,1993/8/12,23.59907291,1.077272773,86782,0,0,0,0,0,12.19846802,14.82552103,0,0,0,0,0,21.28686924,1.199959859,0,0,0,31.48010043,0,17.85964617,9.58202089,0,0,0,12.57467119,1.368325816,12.85774282,33.74583128,14.648957,1.322384751,20920000
120009,1200090012,1993,1993/8/12,20.70832678,2.121052504,93503,0,0,0,0,0,0,0,0,0,3.250618914,0,0.374769701,17.77192724,5.774423529,36.45521547,0,15.46379891,17.94568602,0,0,41.15002342,1.331558746,69.16867479,1.734833035,0,34.65404443,192.308149,0,5.253808636,12.54644804,126953000
120009,1200090015,1993,1993/8/12,11.02689129,1.919999838,7198,0,0.220565513,4.921297024,9.429487986,8.004769997,0,0,2.868942358,9.609948933,0,0,0,0,0,0,0,9.887329798,67.60868444,0,0,0,2.057140735,20.94769843,4.869017877,0.020933426,10.46625889,120.7656313,16.38555886,0,0,57710000
120019,1200190001,1993,1993/8/12,55.06774529,5.842857361,32116,0,0,0,0,0,0,0,6.223782339,0,0.827499981,2.220507346,5.244036648,0,14.2420409,25.367855,73.35083921,0.301948956,11.87587426,2.474515294,0,0,0.890535099,64.33215746,1.752479148,2.752203141,46.78168716,0,0.818345915,156.6017556,0,126419000
120019,1200190003,1993,1993/8/12,5.093930489,7.525000572,32116,0,0,9.08560377,1.005801029,0,0,5.314704106,0,0,0,0,0,6.665946222,14.95554901,9.224901052,0,0,0,0,0,0,5.700921957,0,11.31279139,0,17.30404302,41.97579343,87.84457964,104.815352,3.170706965,5913000
120019,1200190004,1993,1993/8/12,5.156914755,6.866666317,32116,0.222311856,23.5714762,0,6.022118866,2.100636652,0.39122084,0,14.10438913,0.984411078,0,7.760683605,27.76433334,14.30683743,0,0,0,5.124196548,1.439328517,0,0,8.106826494,0,0,34.36027333,0,0,0,4.57481656,7.970009319,0,5945000
120022,1200220001,1993,1993/8/12,6.131286196,5.383333206,67947,5.124196548,1.439328517,0,0,8.106826494,0,0,34.36027333,0,0,0,4.57481656,7.970009319,0,0,0.250233034,0,6.749174373,0.357523931,0.160744591,0,0,0.051406961,0,0,0,0,24.28602458,116.3490763,0,2747000
120023,1200230001,1993,1993/8/12,20.98431183,6.029411793,67947,0,7.522758237,4.864946674,0,0,2.731972492,1.882126123,0,13.74473782,1.101180723,0,0,13.39042054,17.82903826,4.964663382,1.02251711,0,2.357542599,23.98857148,0,0,0.403215368,0,0,4.569189453,30.70054277,16.7956172,0,65.89402799,12.31616403,4935000
120024,1200240001,1993,1993/8/12,12.01309813,3.815384865,35831,0,0,0.103101848,2.114588028,0.118058355,0,0,0,0,0,0,0,0.603551691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681229198,15.15341106,74.97535486,110.5806848,45376000
120025,1200250001,1993,1993/8/12,33.13376525,4.869697094,67947,0,0,8.064988601,0.891687813,0,0,6.475093589,0,0,0,0,0,11.40224138,15.80204711,5.925228611,0,0,0,0,0,0,4.145869013,0,9.42151072,0.643712301,10.56235963,41.85411767,84.47961893,83.20128956,3.3672558,16316000
120026,1200260001,1993,1993/8/12,16.66305964,2.324999809,35831,0,0,0,0.482953106,15.75575009,0,0,1.919044392,1.531943869,0,0,0,0.461959585,0.240789634,0,28.96262913,18.61714285,0,0,0.164033243,67.16546023,1.705168522,0,0,0,0,5.956018694,1.219607541,209.8314913,0,71611000
120030,1200300001,1993,1993/8/12,48.05230649,5.058333397,113100,10.05795447,0.72873587,6.2332825,1.554455631,2.753085087,17.010568,0,0,20.63863184,3.224385087,0.579433923,4.145671306,0,0,2.300230089,9.37661272,40.64193023,4.078292418,77.30494644,9.208006493,4.375812475,0.131655255,0,0.12626836,0,0,2.698015622,1.228121254,0,0,138453000
120030,1200300002,1993,1993/8/12,25.82758623,2.200000048,80984,1.228121254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732632753,0.154452996,0,0,0,4.659908182,0,0.220937837,16.58539862,41.17639495,0.119836203,0,0,0,0.07456122,7.328275029,20174000
120030,1200300004,1993,1993/8/12,8.52257987,6.699999809,35831,0,0.732632753,0.154452996,0,0,0,4.659908182,0,0.220937837,16.58539862,41.17639495,0.119836203,0,0,0,0.07456122,7.328275029,0,0,0,2.577482299,0.124733116,0.467574227,1.100225165,0,0.423960741,0,0,0.227739444,0.18771936,12037000
120031,1200310002,1993,1993/8/12,15.03574943,3.673333168,80984,0,0,0,0,0,0,0,0,0,2.182111138,0,0,27.35386848,8.153072495,35.02196848,0.136242245,31.41116948,18.23972112,0,0,44.80563808,2.005305296,81.75356083,2.486409901,0,31.09340998,188.0844003,0.286889022,4.380558888,11.24333148,17252000
120032,1200320001,1993,1993/8/12,15.79721843,6.114284992,35831,0,0,0,0,11.475241,0,1.251091626,0,0,0,0,1.22901137,0.735302447,0,9.557823482,0,13.81636915,0.314139859,0,0,0,0,0.25765512,27.16369887,1.636751382,3.166883712,76.35503071,117.3615207,0.801221726,5.48356782,24462000
120033,1200330001,1993,1993/8/12,17.66678344,5.34705925,6993,0,0,0,0,0,0,0,0,0,0,0,0,122.8874505,4.444219903,0,0,0,7.34207624,0.163523992,0,54.18440876,0,0,0,0.409824414,0,0,36.52779171,10.63318738,18.53915244,54884000
120034,1200340001,1993,1993/8/12,14.13563238,6.1266675,6993,0,0,0,0,0,0,2.024414152,14.32102246,10.10987309,0,0,0,1.249075857,28.75236648,49.44878669,1.256379414,0.522950543,18.25406733,0.274452282,0,0.114684239,0,0,1.218375207,0.275386153,0,0,120.0254351,162.0029265,0,14733000
120038,1200380002,1993,1993/8/12,13.3194708,5.558333874,42465,0,0.000814554,31.15972583,10.51904271,11.33132203,12.9099408,0,0,0,7.630532803,8.845716581,9.265201741,10.38866173,5.380273256,0,44.21108904,14.78395558,13.48851675,16.94877215,13.18286085,0,9.099770418,0,0,5.314323249,102.2763121,0,0,0,0.265355648,4446000
