wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs,dmgObs,dmgPred
080008,0800080001,2000,2000/7/9,39.77254132,4.761538029,174508,251.809845,659.1719971,96.99389648,642.6004028,819.31427,0,0,0,0,0,0,0,0,441.7225342,816.7497559,0,41.26623154,26.95002174,949.1696777,0,35.74919891,29.83255386,792.6213989,49.55635834,215.0271912,53.68182373,0,1582.588623,5992.505371,274.1209412,6227000,6227000,15565302.05
080010,0800100001,2000,2000/7/9,14.70274843,8.550000191,174508,87.07053375,247.1812134,55.71931076,237.591095,296.3495789,0,0,0,0,0,0,0,0,136.5343628,318.82901,0,0.58672601,0,309.2690125,0,0,1.710352182,80.50048065,2.805862427,63.08243561,1.977110028,0,643.0701904,1984.866455,194.2432861,4133000,4133000,16510525.31
080016,0800160001,2001,2001/10/11,28.63369821,0.71071434,247974,0,29.85463715,7.579543114,163.6035461,0,0,0,0,0,322.2106628,46.90459824,0,0,0,0,0,160.9837646,0,238.9470825,1401.957275,72.36737061,0,0,94.78573608,0,0,56.6461792,0,3601.092041,323.4911194,13670000,13670000,21804931.74
080003,0800030001,2004,2004/10/12,59.8918371,5.542372704,126404,0,8.668787956,0,0,57.12557602,0,5.551151276,10.81367016,0,109.8681107,0,77.01514435,548.4033203,537.9998779,355.4699402,8.498850822,1794.479736,1369.013428,0,0,2045.401855,190.5714111,2823.304443,238.9634094,0,1440.262451,8780.825195,0,225.2849884,402.7052307,10672000,10672000,12591125.32
080006,0800060001,2004,2004/10/12,44.1469728,5.725532055,202207,0,1.561436176,0,0,75.99401855,0,0,3.50091362,0,96.38023376,0,81.82738495,380.0916748,638.6771851,272.9103394,0,1562.010498,820.4536133,0,0,1549.838989,100.5836716,1960.158691,139.2951813,0,1149.391724,6877.397949,0,190.5863342,361.0567322,4192000,4192000,12551139.94
080003,0800030008,2006,2006/6/16,4.297660927,6.5,41801,0,32.71867371,98.50569153,0,0,6.565398216,1.123463392,0,0,21.86909485,238.6701355,0,30.18821716,2.509386778,0,0,0,0,0,3.597582579,81.3378067,0,212.6676636,0,53.74314117,0,0,0,61.37268066,409.2338257,289000,289000,11143128.09
080008,0800080001,2006,2006/6/16,39.77254132,4.761538029,174508,0,377.8692932,1442.085815,0,0,51.91302872,59.08898544,0,0,233.2671967,2935.997803,0,130.9332886,32.15163422,0,0,0,0,0,13.21646023,668.8088379,0,3133.471436,0,599.6225586,0,0,0,664.5961914,4862.630859,2624000,2624000,9104908.262
080009,0800090001,2006,2006/6/16,10.27705239,5.550000191,174508,0,68.65114594,247.5852814,0,0,9.510777473,2.738634825,0,0,47.94013214,589.0502319,0,26.53511238,0,0,0,0,0,0,0,144.9812927,0,681.8137207,0,138.5966034,0,0,0,124.4774857,937.4998169,11498000,11498000,9515900.811
080011,0800110001,2006,2006/10/9,12.06379278,6.530769348,174508,0,3.699674606,171.4969482,358.8460999,255.6268005,0,0,15.89787006,404.5794067,0,0,0,0,0,0,0,377.1577759,665.9628296,0,0,0,17.97870445,111.1507797,0,11.25619698,203.7264404,1529.071167,208.7119446,0,0,14940000,14940000,17918229.56
080005,0800050001,2007,2007/7/17,17.80323434,3.893750191,27699,0,0,0,187.9898682,216.2229309,0,0,17.05390549,117.9021301,0,0,176.0941162,25.80513382,1.040054083,358.6588745,19.00954437,325.144165,15.30013752,28.90821457,0,0,0,51.98326874,669.8681641,0,9.759202957,381.6306152,3088.861572,0,18.77035332,6308000,6308000,21839425.36
